cell,shock,clock,books,paired_gap_bps,cluster
crash-work-b1,crash,work,1,137.485908,material
crash-night-b3,crash,night,3,137.547942,material
wick-persist-work-b3,wick-persist,work,3,138.670262,material
wick-persist-night-b3,wick-persist,night,3,139.140325,material
wick-persist-work-b3,wick-persist,work,3,139.193171,material
wick-persist-night-b3,wick-persist,night,3,139.811493,material
grind-night-b1,grind,night,1,139.865135,material
wick-persist-night-b3,wick-persist,night,3,139.896261,material
crash-night-b3,crash,night,3,140.466004,material
crash-night-b3,crash,night,3,141.060278,material
wick-persist-night-b3,wick-persist,night,3,141.259258,material
crash-night-b3,crash,night,3,141.829259,material
wick-persist-night-b3,wick-persist,night,3,142.073684,material
crash-night-b3,crash,night,3,142.413019,material
